original,tok_sent,drug_roa_phrase,roa_detail_1,roa_detail_2,roa_detail_3
Not Applicable,not applicable,,,,
Powder for Inhalation,powder for inhalation,for inhalation,[],['inhalation'],
Nebulizing Suspension (Sterile),nebulizing suspension sterile,,,,
Dialysis Solution,dialysis solution,,,,
Strerile Water for Injection,strerile water for injection,for injection,[],['injection'],
Ophthalmic Ointment,ophthalmic ointment,,,,
cream,cream,,,,
Oral Gel,oral gel,,,,
Medicated Oil,medicated oil,,,,
Ophthalmic Solution (Eye Drops),ophthalmic solution eye drops,,,,
Ophthalmic Suspension (Drops),ophthalmic suspension drops,,,,
Granules For Suspension,granules for suspension,for suspension,[],['suspension'],suspension
Solution For Iv Solution,solution for iv solution,for iv solution,['iv'],[],solution
Powder For Injection,powder for injection,for injection,[],['injection'],
Solution,solution,,,,
Susupension,susupension,,,,
Powder for Injection (IM/SC) [Sustained Release],powder for injection im sc sustained release,for injection im sc sustained release,"['im', 'sc']",['injection'],
Solution for Injection (IV or Intravesical),solution for injection iv or intravesical,for injection iv or intravesical,"['intravesical', 'iv']",['injection'],
Granules For Oral Suspension,granules for oral suspension,for oral suspension,['oral'],['suspension'],suspension
Sterile Ophthalmic Ointment,sterile ophthalmic ointment,,,,
Suspension For Injection (Im/ Intra-Articular/  IntraBursal/ Periarticular/ Intralesional),suspension for injection im intra-articular intrabursal periarticular intralesional,for injection im intra-articular intrabursal periarticular intralesional,"['intralesional', 'im', 'intra-articular', 'intrabursal']",['injection'],
Solution for Injection (IM / IV),solution for injection im iv,for injection im iv,"['im', 'iv']",['injection'],
Solution for Injection (1.M./I.V.),solution for injection m iv,for injection m iv,['iv'],['injection'],
Solution (amber bottle x 30mL),solution amber bottle x ml,,,,
SOLUTION (Nail Lacquer),solution nail lacquer,,,,
Suspension For Intratracheal Administration,suspension for intratracheal administration,for intratracheal administration,['intratracheal'],[],
Lyophilized Powder For Injection (I.V.),lyophilized powder for injection iv,for injection iv,['iv'],['injection'],
Aqueous Nasal Spray,aqueous nasal spray,,,,
GRANULES FOR SUSPENSION,granules for suspension,for suspension,[],['suspension'],suspension
Powder for Intravenous (IV) Infusion,powder for intravenous iv infusion,for intravenous iv infusion,"['intravenous', 'iv']",['infusion'],
Powder For Injection (IM/IV),powder for injection im iv,for injection im iv,"['im', 'iv']",['injection'],
Powder for Injection (I.M./I.V.),powder for injection im iv,for injection im iv,"['im', 'iv']",['injection'],
Liquid Oil (Sweet Orange Flavor),liquid oil sweet orange flavor,,,,
Gel,gel,,,,
Solution (Oral Drops),solution oral drops,,,,
Granules for Oral Suspension,granules for oral suspension,for oral suspension,['oral'],['suspension'],suspension
Sterile Powder For Infusion,sterile powder for infusion,for infusion,[],['infusion'],
Intraocular Irrigating Solution,intraocular irrigating solution,,,,
Emulsion for IV Infusion,emulsion for iv infusion,for iv infusion,['iv'],['infusion'],
Suspension (Orange Flavor),suspension orange flavor,,,,
Nebulizing Solution,nebulizing solution,,,,
Depot In Pre-Filled Syringe (Sc Injection),depot in pre-filled syringe sc injection,,,,
Syrup (Oral Drops) Orange Flavor,syrup oral drops orange flavor,,,,
Solution for Nebulizing,solution for nebulizing,for nebulizing,[],[],
Extended-Release Tablet,extended-release tablet,,,,
Granules For Suspension (Drops),granules for suspension drops,for suspension drops,[],['suspension'],suspension
Powder For Susp.(Oral Drops),powder for susporal drops,for susporal drops,['susporal'],[],drops
SYRUP,syrup,,,,
Solution for Intravenous Injection,solution for intravenous injection,for intravenous injection,['intravenous'],['injection'],
Solution for IV Injection,solution for iv injection,for iv injection,['iv'],['injection'],
Solution for Injection (SC/IM/IV),solution for injection sc im iv,for injection sc im iv,"['im', 'sc', 'iv']",['injection'],
IV Solution,iv solution,,,,
Oral Tablet,oral tablet,,,,
Suspension (See reverse for formulation),suspension see reverse for formulation,for formulation,[],[],
SUSPENSION,suspension,,,,
Ophthalmic Solution (Drops),ophthalmic solution drops,,,,
Sterile Concentrate Solution for I.V. Infusion,sterile concentrate solution for iv infusion,for iv infusion,['iv'],['infusion'],
Herbal Tea,herbal tea,,,,
Granules for Suspension (Oral Drops),granules for suspension oral drops,for suspension oral drops,['oral'],['suspension'],suspension
Parenteral Solution For I.V. Infusion,parenteral solution for iv infusion,for iv infusion,['iv'],['infusion'],
Opthalmic Solution (Drops),opthalmic solution drops,,,,
"Solution, oral",solution oral,,,,
Retard Tablet,retard tablet,,,,
Powder for Aqueous Injection,powder for aqueous injection,for aqueous injection,[],['injection'],
Powder For Suspension (Drops),powder for suspension drops,for suspension drops,[],['suspension'],suspension
LOTION,lotion,,,,
Granule For Suspension (Oral Drops),granule for suspension oral drops,for suspension oral drops,['oral'],['suspension'],suspension
Solution for Injection (I.M. /I.V.),solution for injection im iv,for injection im iv,"['im', 'iv']",['injection'],
Solution for I.V. Injection (IV),solution for iv injection iv,for iv injection iv,['iv'],['injection'],
Trandermal Patch,trandermal patch,,,,
Sterile Powder for Injection (I.M/I.V),sterile powder for injection im iv,for injection im iv,"['im', 'iv']",['injection'],
Parenteral Solution,parenteral solution,,,,
Solution For Injection (IV Infusion),solution for injection iv infusion,for injection iv infusion,['iv'],"['infusion', 'injection']",
CAPSULE,capsule,,,,
Sterile Powder for Injection (I.M),sterile powder for injection im,for injection im,['im'],['injection'],
Scalp Lotion,scalp lotion,,,,
Solution For Injection (I.M./S.C./I.V.),solution for injection im sc iv,for injection im sc iv,"['im', 'sc', 'iv']",['injection'],
Oral Suspension (Choco Flavor),oral suspension choco flavor,,,,
Powder for Injection (IM/IV/SC),powder for injection im iv sc,for injection im iv sc,"['im', 'sc', 'iv']",['injection'],
Dental Paste,dental paste,,,,
"Powder For Injection (Im/Sc) 
Sustained Release",powder for injection im sc sustained release,for injection im sc sustained release,"['im', 'sc']",['injection'],
Powder for Injection (IM/IV),powder for injection im iv,for injection im iv,"['im', 'iv']",['injection'],
Nasal Spray,nasal spray,,,,
Dispersible/Chewable Tablet,dispersible chewable tablet,,,,
Granules For Suspension (Pineapple Flavor),granules for suspension pineapple flavor,for suspension pineapple flavor,[],['suspension'],suspension
Powder for injection (IM / IV),powder for injection im iv,for injection im iv,"['im', 'iv']",['injection'],
Softgel capsule,softgel capsule,,,,
Rectal Suspension for Enema,rectal suspension for enema,for enema,[],[],enema
See attached,see attached,,,,
Granules for Oral Solution,granules for oral solution,for oral solution,['oral'],[],solution
Enteric-Coated Tablet,enteric-coated tablet,,,,
Powder for Suspension (Oral drops),powder for suspension oral drops,for suspension oral drops,['oral'],['suspension'],suspension
Sterile Ophthalmic Gel,sterile ophthalmic gel,,,,
Soft-Gelatin Capsule,soft-gelatin capsule,,,,
Powder for suspension (Oral Drops),powder for suspension oral drops,for suspension oral drops,['oral'],['suspension'],suspension
Powder For Oral Solution,powder for oral solution,for oral solution,['oral'],[],solution
Sustained-Release Tablet,sustained-release tablet,,,,
Ophthalmic Gel,ophthalmic gel,,,,
Powder For Oral Suspension (Oral Drops),powder for oral suspension oral drops,for oral suspension oral drops,['oral'],['suspension'],suspension
Powder For Suspension (Oral Drops ),powder for suspension oral drops,for suspension oral drops,['oral'],['suspension'],suspension
Solution for Intravascular Injection,solution for intravascular injection,for intravascular injection,['intravascular'],['injection'],
Oral Drops,oral drops,,,,
Solution For Peritoneal Dialysis,solution for peritoneal dialysis,for peritoneal dialysis,['peritoneal'],[],
Solution for Intraperitoneal Administration,solution for intraperitoneal administration,for intraperitoneal administration,['intraperitoneal'],[],
tablet,tablet,,,,
Solution for Injection IM / IV,solution for injection im iv,for injection im iv,"['im', 'iv']",['injection'],
Granules for Solution,granules for solution,for solution,[],[],solution
Oral Capsule,oral capsule,,,,
Disinfectant Solution,disinfectant solution,,,,
Solution For Injection (Iv/Im)/ 100 Mg/Ml (500 Mg/5Ml),solution for injection iv im mg ml mg ml,for injection iv im mg ml mg ml,"['im', 'iv']",['injection'],
Dry Powder For Inhalation,dry powder for inhalation,for inhalation,[],['inhalation'],
Effervescent Tablet,effervescent tablet,,,,
Granules For Solution,granules for solution,for solution,[],[],solution
Prolonged-Release Tablet,prolonged-release tablet,,,,
Solution For Intravascular Injection,solution for intravascular injection,for intravascular injection,['intravascular'],['injection'],
Lyophilized Powder For Intravenpus Injection,lyophilized powder for intravenpus injection,for intravenpus injection,['intravenpus'],['injection'],
Sterile Ophthalmic solution,sterile ophthalmic solution,,,,
Lyophilized Powder For Intravenous Injection (IV),lyophilized powder for intravenous injection iv,for intravenous injection iv,"['intravenous', 'iv']",['injection'],
Granules For Suspension (Oral Drops),granules for suspension oral drops,for suspension oral drops,['oral'],['suspension'],suspension
Metered-Dose Inhaler (Non-Cfc),metered-dose inhaler non-cfc,,,,
Inhaler,inhaler,,,,
Intravenous Infusion,intravenous infusion,,,,
fluid for injection,fluid for injection,for injection,[],['injection'],
Solution For Spinal Injection,solution for spinal injection,for spinal injection,['spinal'],['injection'],
Powder For Injection (I.M./M.R),powder for injection im mr,for injection im mr,['im'],['injection'],
Lyophilized Powder for Injcetion (IM/SC) Sustained Release,lyophilized powder for injcetion im sc sustained release,for injcetion im sc sustained release,"['im', 'sc']",[],
Suspension For Inhalation (Nebules),suspension for inhalation nebules,for inhalation nebules,[],['inhalation'],
None,none,,,,
Solution For Injection/ Infusion (I.M./I.V./S.C./I.A.),solution for injection infusion im iv sc ia,for injection infusion im iv sc ia,"['im', 'sc', 'iv', 'ia']","['infusion', 'injection']",
"Powder For Injection (Im. Iv, Ia, Intraperitoneal, Intrapleural)",powder for injection im iv ia intraperitoneal intrapleural,for injection im iv ia intraperitoneal intrapleural,"['iv', 'intraperitoneal', 'ia', 'intrapleural', 'im']",['injection'],
Shampoo,shampoo,,,,
Sustained-Release tablet,sustained-release tablet,,,,
Concentrate For I.V. Infusion,concentrate for iv infusion,for iv infusion,['iv'],['infusion'],
Film - Coated Tablet,film - coated tablet,,,,
Intrauterine Delivery System,intrauterine delivery system,,,,
Ophthalmic suspension,ophthalmic suspension,,,,
Powder for Injection (I.V.),powder for injection iv,for injection iv,['iv'],['injection'],
Ophthalmic solution,ophthalmic solution,,,,
Solution For Injection (I.V./I.A./Intravesicular),solution for injection iv ia intravesicular,for injection iv ia intravesicular,"['intravesicular', 'iv', 'ia']",['injection'],
Concentrate For Infusion (I.V.),concentrate for infusion iv,for infusion iv,['iv'],['infusion'],
Concentrate For Iv Infusion,concentrate for iv infusion,for iv infusion,['iv'],['infusion'],
TOPICAL SOLUTION,topical solution,,,,
Solution For Inhalation,solution for inhalation,for inhalation,[],['inhalation'],
Solution For Injection (Intravenous/Intra-arterial/Intrathecal/Body Caveties),solution for injection intravenous intra-arterial intrathecal body caveties,for injection intravenous intra-arterial intrathecal body caveties,"['arterial', 'intravenous', 'intra-arterial', 'intrathecal']",['injection'],
Concentrate For Infusion,concentrate for infusion,for infusion,[],['infusion'],
Solution For Injection (I.M/I.V),solution for injection im iv,for injection im iv,"['im', 'iv']",['injection'],
Metered Dose Inhaler (CFC-Free),metered dose inhaler cfc-free,,,,
Solution for Injection (IM/IV/Intrathecal/Intra-arterial),solution for injection im iv intrathecal intra-arterial,for injection im iv intrathecal intra-arterial,"['arterial', 'iv', 'intra-arterial', 'intrathecal', 'im']",['injection'],
Solution For Injection IV,solution for injection iv,for injection iv,['iv'],['injection'],
Liquid For Inhalation,liquid for inhalation,for inhalation,[],['inhalation'],
Depot Solution For Subcutaneous Injection,depot solution for subcutaneous injection,for subcutaneous injection,['subcutaneous'],['injection'],
Emulsion for Intravenous Infusion,emulsion for intravenous infusion,for intravenous infusion,['intravenous'],['infusion'],
Solution For Injection (I.M./ I.V.),solution for injection im iv,for injection im iv,"['im', 'iv']",['injection'],
Lyophilized Powder for I.V.Injection,lyophilized powder for ivinjection,for ivinjection,[],[],
Suspennsion,suspennsion,,,,
Powder for Injection (I.V./ Intraperitoneal/ Intrapleural/ I.A.),powder for injection iv intraperitoneal intrapleural ia,for injection iv intraperitoneal intrapleural ia,"['intrapleural', 'intraperitoneal', 'iv', 'ia']",['injection'],
"Solution with 1.5% Dextrose (For 
Intraperitoneal Administration)",solution with dextrose for intraperitoneal administration,for intraperitoneal administration,['intraperitoneal'],[],
"Solution for Intraperitoneal Administration 
(Dialysis)",solution for intraperitoneal administration dialysis,for intraperitoneal administration dialysis,['intraperitoneal'],[],
Solution With 2.5% Dextrose,solution with dextrose,,,,
Powder For Injection (I.M.),powder for injection im,for injection im,['im'],['injection'],
Sterile Irrigating Solution,sterile irrigating solution,,,,
Powder For Suspension For Injection,powder for suspension for injection,for suspension for injection,[],"['injection', 'suspension']",suspension
FIlm-Coated Tablet,film-coated tablet,,,,
Filmcap,filmcap,,,,
Lyophilized Powder for Injection,lyophilized powder for injection,for injection,[],['injection'],
Syrup (Oral Drops) Strawberry Flavor,syrup oral drops strawberry flavor,,,,
Vaginal Gel,vaginal gel,,,,
Vaginal Insert,vaginal insert,,,,
Ophthalmic Drops,ophthalmic drops,,,,
Suspension / Syrup,suspension syrup,,,,
Transdermal Patch,transdermal patch,,,,
Solution for injection (IM/IV),solution for injection im iv,for injection im iv,"['im', 'iv']",['injection'],
Enteric-Coated Pellets in Capsule,enteric-coated pellets in capsule,,,,
Powder for IV Infusion,powder for iv infusion,for iv infusion,['iv'],['infusion'],
Sterile Solution for Nebulization,sterile solution for nebulization,for nebulization,[],[],
Powder For Inhalation,powder for inhalation,for inhalation,[],['inhalation'],
Sterile Powder for Injection,sterile powder for injection,for injection,[],['injection'],
Capsules,capsules,,,,
Forte Syrup,forte syrup,,,,
Iv Solution,iv solution,,,,
Dispersible Tablet,dispersible tablet,,,,
Powder For Injection (Iv/Im),powder for injection iv im,for injection iv im,"['im', 'iv']",['injection'],
Otic Suspension,otic suspension,,,,
Solution (Ophthalmic Drops),solution ophthalmic drops,,,,
Suspension (Strawberry Flavor),suspension strawberry flavor,,,,
Suspension (Melon Flavor),suspension melon flavor,,,,
ER Tablet,er tablet,,,,
Film Tablet,film tablet,,,,
Sustained-Release Film-Coated Tablet,sustained-release film-coated tablet,,,,
Emulgel,emulgel,,,,
Film -Coated Tablet,film -coated tablet,,,,
Suspension/Syrup,suspension syrup,,,,
Solution For Injection (Iv/Im/Sc),solution for injection iv im sc,for injection iv im sc,"['im', 'sc', 'iv']",['injection'],
Lyophilized Powder for IM/IV Injection,lyophilized powder for im iv injection,for im iv injection,"['im', 'iv']",['injection'],
Solution For Injection (Im),solution for injection im,for injection im,['im'],['injection'],
Soft Gel Capsule,soft gel capsule,,,,
Sterile Otic Suspension (Ear Drops),sterile otic suspension ear drops,,,,
Sterile Ophthalmic Suspension(Eye Drops),sterile ophthalmic suspensioneye drops,,,,
Pediatric Suppository,pediatric suppository,,,,
Sterile Ophthalmic Suspension (Drops),sterile ophthalmic suspension drops,,,,
Sterile Otic Suspension,sterile otic suspension,,,,
Solution For Nebulization,solution for nebulization,for nebulization,[],[],
"Solution for Injection 
(I.M.A.V.)",solution for injection imav,for injection imav,[],['injection'],
Sterile Ophthalmic Suspension Eye Drops,sterile ophthalmic suspension eye drops,,,,
Enteric Coated Tablet,enteric coated tablet,,,,
Concentrate For Iv Infusion Or Oral Solution,concentrate for iv infusion or oral solution,for iv infusion or oral solution,"['oral', 'iv']",['infusion'],solution
Respiratory Suspension,respiratory suspension,,,,
ophthalmic ointment,ophthalmic ointment,,,,
Emulsion For Intravenous Injection,emulsion for intravenous injection,for intravenous injection,['intravenous'],['injection'],
Soft-gelatin capsule,soft-gelatin capsule,,,,
Antiviral,antiviral,,,,
Prolonged-Release Powder For Injection (Im),prolonged-release powder for injection im,for injection im,['im'],['injection'],
Prolonged-Release Powder For Suspension For Injection (Im),prolonged-release powder for suspension for injection im,for suspension for injection im,['im'],"['injection', 'suspension']",suspension
Sterile Ophthamic Solution,sterile ophthamic solution,,,,
Sustained-Release Capsule,sustained-release capsule,,,,
Film - Coated  Tablet,film - coated tablet,,,,
Powder For Injection (I.V./I.V. Infusion),powder for injection iv iv infusion,for injection iv iv infusion,['iv'],"['infusion', 'injection']",
Sodium for injection IV / IM,sodium for injection iv im,for injection iv im,"['im', 'iv']",['injection'],
Gastro-Resistant Tablets (Film-Coated),gastro-resistant tablets film-coated,,,,
Delayed Released Tablet,delayed released tablet,,,,
Spray Solution,spray solution,,,,
Saline Solution,saline solution,,,,
Powder For Solution,powder for solution,for solution,[],[],solution
Solution For Nasal Spray,solution for nasal spray,for nasal spray,['nasal'],[],spray
Nebulizing Solution For Inhalation,nebulizing solution for inhalation,for inhalation,[],['inhalation'],
Emulsion For Intravenous Infusion,emulsion for intravenous infusion,for intravenous infusion,['intravenous'],['infusion'],
Powder For Injection (I.V/I.M.),powder for injection iv im,for injection iv im,"['im', 'iv']",['injection'],
SOLUTION FOR INJECTION,solution for injection,for injection,[],['injection'],
Suspension for nebulization,suspension for nebulization,for nebulization,[],[],
Sterile Opthalmic Gel,sterile opthalmic gel,,,,
Solution For Injection (IM/IV/SC),solution for injection im iv sc,for injection im iv sc,"['im', 'sc', 'iv']",['injection'],
Powder For Injection/Infusion (Iv),powder for injection infusion iv,for injection infusion iv,['iv'],"['infusion', 'injection']",
Fast Disintegrating Tablet,fast disintegrating tablet,,,,
Powder For Injection (I.M/I.V.),powder for injection im iv,for injection im iv,"['im', 'iv']",['injection'],
2 GRAM TEA BAG,gram tea bag,,,,
Solution for Injection (For Intravenous Infusion Only),solution for injection for intravenous infusion only,for injection for intravenous infusion only,['intravenous'],"['infusion', 'injection']",
Lyopjilized Powder for Injection (IV),lyopjilized powder for injection iv,for injection iv,['iv'],['injection'],
Lyopjilized Powder For Injection (Iv),lyopjilized powder for injection iv,for injection iv,['iv'],['injection'],
Lyophilized  Powder for Injection (IV),lyophilized powder for injection iv,for injection iv,['iv'],['injection'],
Concentrate For Solustion For I.V. Infusion,concentrate for solustion for iv infusion,for solustion for iv infusion,['iv'],['infusion'],
Solution For Injection (I.M/I.V.),solution for injection im iv,for injection im iv,"['im', 'iv']",['injection'],
Metered-Dose Inhaler,metered-dose inhaler,,,,
Suspension;Suspension;Syrup,suspensionsuspensionsyrup,,,,
Solution For Nebulization (Pulmoneb),solution for nebulization pulmoneb,for nebulization pulmoneb,[],[],
Syrup (Cherry Flavor),syrup cherry flavor,,,,
Sprinkle Capsule,sprinkle capsule,,,,
Powder for Oral Solution,powder for oral solution,for oral solution,['oral'],[],solution
Ophthalmic Emulsion,ophthalmic emulsion,,,,
Suspension For Injection(Im),suspension for injectionim,for injectionim,[],[],
Powder For Injection (IV),powder for injection iv,for injection iv,['iv'],['injection'],
Sterile Solution For Iv Infusion,sterile solution for iv infusion,for iv infusion,['iv'],['infusion'],
Sterile Suspension (Ophthalmic Drops),sterile suspension ophthalmic drops,,,,
"Solution for IV Infusion (Pediatric 
Solution)",solution for iv infusion pediatric solution,for iv infusion pediatric solution,"['pediatric', 'iv']",['infusion'],solution
Concentrate Solution For Iv Infusion,concentrate solution for iv infusion,for iv infusion,['iv'],['infusion'],
Opththalmic Solution,opththalmic solution,,,,
Vial Powder For Injection,vial powder for injection,for injection,[],['injection'],
SOLUTION FOR IV INFUSION,solution for iv infusion,for iv infusion,['iv'],['infusion'],
Syrup (Orange Flavor),syrup orange flavor,,,,
Kit Contains Suspension + Syrup,kit contains suspension syrup,,,,
otic drops,otic drops,,,,
Solution for Inhalation (Metered Dose Inhaler),solution for inhalation metered dose inhaler,for inhalation metered dose inhaler,[],['inhalation'],inhaler
Syrup (Oral Drops) - Grape Flavor,syrup oral drops - grape flavor,,,,
Forte Suspension,forte suspension,,,,
Dusting Powder,dusting powder,,,,
Lyophilized Powder for Injection (IV Infusion),lyophilized powder for injection iv infusion,for injection iv infusion,['iv'],"['infusion', 'injection']",
ophthalmic solution,ophthalmic solution,,,,
Solution for Irrigation,solution for irrigation,for irrigation,[],[],
Lyophilized Powder For Intravenous Injection And Infusion,lyophilized powder for intravenous injection and infusion,for intravenous injection and infusion,['intravenous'],"['infusion', 'injection']",
Powder For Injection (I.V./I.M.),powder for injection iv im,for injection iv im,"['im', 'iv']",['injection'],
Syrup (Grape Flavor),syrup grape flavor,,,,
Vaginal Tablet,vaginal tablet,,,,
"Film-Coated Tablet( contains Sustained- Release Verapamil layer and 
Immediate-Release Trandolapril layer )",film-coated tablet contains sustained- release verapamil layer and immediate-release trandolapril layer,,,,
Liquid for Inhalation,liquid for inhalation,for inhalation,[],['inhalation'],
Emulsion for Infusion (IV),emulsion for infusion iv,for infusion iv,['iv'],['infusion'],
Powder for Solution for Intratracheal Infusion,powder for solution for intratracheal infusion,for solution for intratracheal infusion,['intratracheal'],['infusion'],solution
Lyophilized Sterile Powder For Injection (Iv),lyophilized sterile powder for injection iv,for injection iv,['iv'],['injection'],
Intavenous injection,intavenous injection,,,,
Concentrate Solution for IV Infusion,concentrate solution for iv infusion,for iv infusion,['iv'],['infusion'],
Concentrate For Intravenous Infusion,concentrate for intravenous infusion,for intravenous infusion,['intravenous'],['infusion'],
Concentrate Solution,concentrate solution,,,,
Sterile Ophthalmic Solution(Drops),sterile ophthalmic solutiondrops,,,,
Sterile Powder for Injection (IM/IV),sterile powder for injection im iv,for injection im iv,"['im', 'iv']",['injection'],
Sustained Release Capsule,sustained release capsule,,,,
Solution for IV Infusion (),solution for iv infusion,for iv infusion,['iv'],['infusion'],
Film-Coated tablet,film-coated tablet,,,,
Lyophilized Powder Injection (IV),lyophilized powder injection iv,,,,
Otic Solution (Drops),otic solution drops,,,,
Suppository (Rectal),suppository rectal,,,,
Powder For Injection (Iv Infusion),powder for injection iv infusion,for injection iv infusion,['iv'],"['infusion', 'injection']",
Water for Injection,water for injection,for injection,[],['injection'],
Concentrate for Solution for Injection (IV),concentrate for solution for injection iv,for solution for injection iv,['iv'],['injection'],solution
Suspension for Injection (1.M.),suspension for injection m,for injection m,[],['injection'],
Solution for Injection (IM/IV/IA),solution for injection im iv ia,for injection im iv ia,"['im', 'iv', 'ia']",['injection'],
Prolonged Release Film-Coated Tablet,prolonged release film-coated tablet,,,,
Solution for Injection/Infusion,solution for injection infusion,for injection infusion,[],"['infusion', 'injection']",
Syrup (COLA Flavor),syrup cola flavor,,,,
Powder for Injection (I.V./I.M.),powder for injection iv im,for injection iv im,"['im', 'iv']",['injection'],
Lozenge,lozenge,,,,
Lyophilized Powder For Iv Infusion,lyophilized powder for iv infusion,for iv infusion,['iv'],['infusion'],
Delayed Release Tablet,delayed release tablet,,,,
Transdermal patch,transdermal patch,,,,
Flim-Coated Tablet,flim-coated tablet,,,,
Soln For Inj (Im/Iv),soln for inj im iv,for inj im iv,"['im', 'iv']",['inj'],
Powder For Suspension Oral Drops,powder for suspension oral drops,for suspension oral drops,['oral'],['suspension'],suspension
Solution For Injection In Pre-Filled Syringe,solution for injection in pre-filled syringe,for injection in pre-filled syringe,[],['injection'],
Fim-Coated Tablet,fim-coated tablet,,,,
Astringent Solution,astringent solution,,,,
Solution For Injection (Iv/Ia),solution for injection iv ia,for injection iv ia,"['iv', 'ia']",['injection'],
Adult Solution (Oral Drops),adult solution oral drops,,,,
Solution For Injection/ 125 Mg/Ml (500 Mg/4 Ml),solution for injection mg ml mg ml,for injection mg ml mg ml,[],['injection'],
Delayed-Release Capsule,delayed-release capsule,,,,
Sterile Ophthalmic Solution [Benzalkonium chloride (BAK) Free Formula],sterile ophthalmic solution benzalkonium chloride bak free formula,,,,
Sterile Opthalmic Solution,sterile opthalmic solution,,,,
Oil-In-Water Emulsion For Injection (Iv Infusion),oil-in-water emulsion for injection iv infusion,for injection iv infusion,['iv'],"['infusion', 'injection']",
O/W Emulsion for Injection (IV/IV Infusion),o w emulsion for injection iv iv infusion,for injection iv iv infusion,['iv'],"['infusion', 'injection']",
Opthalmic Solution,opthalmic solution,,,,
Sterile Solution For Injection Im/Iv,sterile solution for injection im iv,for injection im iv,"['im', 'iv']",['injection'],
Emulsion For Iv Infusion,emulsion for iv infusion,for iv infusion,['iv'],['infusion'],
Dry Powder for Inhalation in Capsule,dry powder for inhalation in capsule,for inhalation in capsule,[],['inhalation'],capsule
Sterile Opthalmic Solution (Eye Drops),sterile opthalmic solution eye drops,,,,
Lyophilized Powder,lyophilized powder,,,,
Solution For Injection Im/Iv,solution for injection im iv,for injection im iv,"['im', 'iv']",['injection'],
Solution For Injection (Ia/Iv),solution for injection ia iv,for injection ia iv,"['iv', 'ia']",['injection'],
Sterile Suspension for IM Injection,sterile suspension for im injection,for im injection,['im'],['injection'],
Powder for Injection (M/IV),powder for injection m iv,for injection m iv,['iv'],['injection'],
Steril Solution For Injection,steril solution for injection,for injection,[],['injection'],
Sterile Solution For Injection,sterile solution for injection,for injection,[],['injection'],
Pediatric Granules,pediatric granules,,,,
Sterile Solution Ophthalmic Dye,sterile solution ophthalmic dye,,,,
Powder for Injection (I.M./ I.V.),powder for injection im iv,for injection im iv,"['im', 'iv']",['injection'],
Sachet Oral Powder,sachet oral powder,,,,
Emteric Coated Tablet,emteric coated tablet,,,,
Powder for injection (IV Infusion),powder for injection iv infusion,for injection iv infusion,['iv'],"['infusion', 'injection']",
"Tablet, extended release",tablet extended release,,,,
Soln. For Infusion (I.V.),soln for infusion iv,for infusion iv,['iv'],['infusion'],
I.V. Solution,iv solution,,,,
Volatile Liquid for Inhalation,volatile liquid for inhalation,for inhalation,[],['inhalation'],
Solution for IV Infusion (Isotonic with 0.9% Sodium Chloride),solution for iv infusion isotonic with sodium chloride,for iv infusion isotonic with sodium chloride,"['iv', 'isotonic']",['infusion'],
Granules,granules,,,,
Solution for Intravenous Injection (I.V.),solution for intravenous injection iv,for intravenous injection iv,"['intravenous', 'iv']",['injection'],
CREAM,cream,,,,
Metered Dose Inhaler (Cfc Free),metered dose inhaler cfc free,,,,
Powder For Injetion (Im/Iv),powder for injetion im iv,for injetion im iv,"['im', 'iv']",[],
Sterile Ophthalmic Solution (eye drops),sterile ophthalmic solution eye drops,,,,
Lipid Complex Suspension for Injection (IV),lipid complex suspension for injection iv,for injection iv,['iv'],['injection'],
DELAYED-RELEASE CAPSULE,delayed-release capsule,,,,
Suspension For Nasal Spray,suspension for nasal spray,for nasal spray,['nasal'],[],spray
Powder for I.M/I.V.,powder for im iv,for im iv,"['im', 'iv']",[],
Solution for Intravenous Infusion (IV),solution for intravenous infusion iv,for intravenous infusion iv,"['intravenous', 'iv']",['infusion'],
Normal Saline Solution,normal saline solution,,,,
Sterile Water for Injection (Solution),sterile water for injection solution,for injection solution,[],['injection'],solution
Lyophilized Powder For I.V. Infusion,lyophilized powder for iv infusion,for iv infusion,['iv'],['infusion'],
Granules For Suspesion (Drops),granules for suspesion drops,for suspesion drops,[],[],drops
Oral Lyophilisate,oral lyophilisate,,,,
Film coated Tablet,film coated tablet,,,,
ointment,ointment,,,,
Sterile Opthalmic Suspension,sterile opthalmic suspension,,,,
concentrated solution for iv infusion,concentrated solution for iv infusion,for iv infusion,['iv'],['infusion'],
Sterile Powder For Injection,sterile powder for injection,for injection,[],['injection'],
Gastro-Resistant Granules For Oral Suspension,gastro-resistant granules for oral suspension,for oral suspension,['oral'],['suspension'],suspension
Throat Spray,throat spray,,,,
Granules for Suspension (Orange Flavor),granules for suspension orange flavor,for suspension orange flavor,[],['suspension'],suspension
Granules For Oral Injection,granules for oral injection,for oral injection,['oral'],['injection'],
Powder For Injection (I.M./I.V),powder for injection im iv,for injection im iv,"['im', 'iv']",['injection'],
Powder for Oral Drops,powder for oral drops,for oral drops,['oral'],[],drops
Lyophilized Powder For Injection (I.V. Infusion),lyophilized powder for injection iv infusion,for injection iv infusion,['iv'],"['infusion', 'injection']",
Lyophilized Powder For Injection (I.V. ),lyophilized powder for injection iv,for injection iv,['iv'],['injection'],
Metered Dose Nasal Spray,metered dose nasal spray,,,,
