original,tokenized,drug_format
Extended-Release Tablet,extended-release tablet,tablet
Granules For Suspension (Drops),granules for suspension drops,suspension
Powder For Susp.(Oral Drops),powder for susporal drops,powder
SYRUP,syrup,syrup
Solution for Intravenous Injection,solution for intravenous injection,solution
Solution for IV Injection,solution for iv injection,solution
Solution for Injection (SC/IM/IV),solution for injection sc im iv,solution
IV Solution,iv solution,solution
Oral Tablet,oral tablet,tablet
Suspension (See reverse for formulation),suspension see reverse for formulation,suspension
SUSPENSION,suspension,suspension
Ophthalmic Solution (Drops),ophthalmic solution drops,solution
Sterile Concentrate Solution for I.V. Infusion,sterile concentrate solution for iv infusion,concentrate
Herbal Tea,herbal tea,tea
Granules for Suspension (Oral Drops),granules for suspension oral drops,suspension
Parenteral Solution For I.V. Infusion,parenteral solution for iv infusion,solution
Opthalmic Solution (Drops),opthalmic solution drops,solution
"Solution, oral",solution oral,solution
Retard Tablet,retard tablet,tablet
Powder for Aqueous Injection,powder for aqueous injection,powder
Powder For Suspension (Drops),powder for suspension drops,powder
LOTION,lotion,lotion
Granule For Suspension (Oral Drops),granule for suspension oral drops,suspension
Solution for Injection (I.M. /I.V.),solution for injection im iv,solution
Solution for I.V. Injection (IV),solution for iv injection iv,solution
Trandermal Patch,trandermal patch,patch
Sterile Powder for Injection (I.M/I.V),sterile powder for injection im iv,powder
Parenteral Solution,parenteral solution,solution
Solution For Injection (IV Infusion),solution for injection iv infusion,solution
CAPSULE,capsule,capsule
Sterile Powder for Injection (I.M),sterile powder for injection im,powder
Scalp Lotion,scalp lotion,lotion
Solution For Injection (I.M./S.C./I.V.),solution for injection im sc iv,solution
Oral Suspension (Choco Flavor),oral suspension choco flavor,suspension
Powder for Injection (IM/IV/SC),powder for injection im iv sc,powder
Dental Paste,dental paste,paste
"Powder For Injection (Im/Sc) 
Sustained Release",powder for injection im sc sustained release,powder
Powder for Injection (IM/IV),powder for injection im iv,powder
Nasal Spray,nasal spray,spray
Dispersible/Chewable Tablet,dispersible chewable tablet,tablet
Granules For Suspension (Pineapple Flavor),granules for suspension pineapple flavor,suspension
Powder for injection (IM / IV),powder for injection im iv,powder
Softgel capsule,softgel capsule,capsule
Rectal Suspension for Enema,rectal suspension for enema,suspension
See attached,see attached,
Granules for Oral Solution,granules for oral solution,solution
Enteric-Coated Tablet,enteric-coated tablet,tablet
Powder for Suspension (Oral drops),powder for suspension oral drops,powder
Sterile Ophthalmic Gel,sterile ophthalmic gel,
Soft-Gelatin Capsule,soft-gelatin capsule,capsule
Powder for suspension (Oral Drops),powder for suspension oral drops,powder
Powder For Oral Solution,powder for oral solution,powder
Sustained-Release Tablet,sustained-release tablet,suspension
Ophthalmic Gel,ophthalmic gel,
Powder For Oral Suspension (Oral Drops),powder for oral suspension oral drops,powder
Powder For Suspension (Oral Drops ),powder for suspension oral drops,powder
Solution for Intravascular Injection,solution for intravascular injection,solution
Oral Drops,oral drops,drops
Solution For Peritoneal Dialysis,solution for peritoneal dialysis,solution
Solution for Intraperitoneal Administration,solution for intraperitoneal administration,solution
tablet,tablet,tablet
Solution for Injection IM / IV,solution for injection im iv,solution
Granules for Solution,granules for solution,solution
Oral Capsule,oral capsule,capsule
Disinfectant Solution,disinfectant solution,solution
Solution For Injection (Iv/Im)/ 100 Mg/Ml (500 Mg/5Ml),solution for injection iv im mg ml mg ml,solution
Dry Powder For Inhalation,dry powder for inhalation,powder
Effervescent Tablet,effervescent tablet,tablet
Granules For Solution,granules for solution,solution
Prolonged-Release Tablet,prolonged-release tablet,tablet
Solution For Intravascular Injection,solution for intravascular injection,solution
Lyophilized Powder For Intravenpus Injection,lyophilized powder for intravenpus injection,powder
Sterile Ophthalmic solution,sterile ophthalmic solution,solution
Lyophilized Powder For Intravenous Injection (IV),lyophilized powder for intravenous injection iv,powder
Granules For Suspension (Oral Drops),granules for suspension oral drops,suspension
Metered-Dose Inhaler (Non-Cfc),metered-dose inhaler non-cfc,inhaler
Inhaler,inhaler,inhaler
Intravenous Infusion,intravenous infusion,
fluid for injection,fluid for injection,
Solution For Spinal Injection,solution for spinal injection,solution
Powder For Injection (I.M./M.R),powder for injection im mr,powder
Lyophilized Powder for Injcetion (IM/SC) Sustained Release,lyophilized powder for injcetion im sc sustained release,powder
Suspension For Inhalation (Nebules),suspension for inhalation nebules,suspension
None,none,
Solution For Injection/ Infusion (I.M./I.V./S.C./I.A.),solution for injection infusion im iv sc ia,solution
"Powder For Injection (Im. Iv, Ia, Intraperitoneal, Intrapleural)",powder for injection im iv ia intraperitoneal intrapleural,powder
Shampoo,shampoo,shampoo
Sustained-Release tablet,sustained-release tablet,suspension
Concentrate For I.V. Infusion,concentrate for iv infusion,concentrate
Film - Coated Tablet,film - coated tablet,tablet
Intrauterine Delivery System,intrauterine delivery system,system
Ophthalmic suspension,ophthalmic suspension,suspension
Powder for Injection (I.V.),powder for injection iv,powder
Ophthalmic solution,ophthalmic solution,solution
Solution For Injection (I.V./I.A./Intravesicular),solution for injection iv ia intravesicular,solution
Concentrate For Infusion (I.V.),concentrate for infusion iv,concentrate
Concentrate For Iv Infusion,concentrate for iv infusion,concentrate
TOPICAL SOLUTION,topical solution,solution
Solution For Inhalation,solution for inhalation,solution
Solution For Injection (Intravenous/Intra-arterial/Intrathecal/Body Caveties),solution for injection intravenous intra-arterial intrathecal body caveties,solution
Concentrate For Infusion,concentrate for infusion,concentrate
Solution For Injection (I.M/I.V),solution for injection im iv,solution
Metered Dose Inhaler (CFC-Free),metered dose inhaler cfc-free,inhaler
Solution for Injection (IM/IV/Intrathecal/Intra-arterial),solution for injection im iv intrathecal intra-arterial,solution
Solution For Injection IV,solution for injection iv,solution
Liquid For Inhalation,liquid for inhalation,liquid
Depot Solution For Subcutaneous Injection,depot solution for subcutaneous injection,solution
Emulsion for Intravenous Infusion,emulsion for intravenous infusion,emulsion
Solution For Injection (I.M./ I.V.),solution for injection im iv,solution
Lyophilized Powder for I.V.Injection,lyophilized powder for ivinjection,powder
Suspennsion,suspennsion,suspension
Powder for Injection (I.V./ Intraperitoneal/ Intrapleural/ I.A.),powder for injection iv intraperitoneal intrapleural ia,powder
"Solution with 1.5% Dextrose (For 
Intraperitoneal Administration)",solution with dextrose for intraperitoneal administration,solution
"Solution for Intraperitoneal Administration 
(Dialysis)",solution for intraperitoneal administration dialysis,solution
Solution With 2.5% Dextrose,solution with dextrose,solution
Powder For Injection (I.M.),powder for injection im,powder
Sterile Irrigating Solution,sterile irrigating solution,solution
Powder For Suspension For Injection,powder for suspension for injection,powder
FIlm-Coated Tablet,film-coated tablet,tablet
Filmcap,filmcap,capsule
Lyophilized Powder for Injection,lyophilized powder for injection,powder
Syrup (Oral Drops) Strawberry Flavor,syrup oral drops strawberry flavor,syrup
Vaginal Gel,vaginal gel,
Vaginal Insert,vaginal insert,insert
Ophthalmic Drops,ophthalmic drops,drops
Suspension / Syrup,suspension syrup,suspension
Transdermal Patch,transdermal patch,patch
Solution for injection (IM/IV),solution for injection im iv,solution
Enteric-Coated Pellets in Capsule,enteric-coated pellets in capsule,capsule
Powder for IV Infusion,powder for iv infusion,powder
Sterile Solution for Nebulization,sterile solution for nebulization,solution
Powder For Inhalation,powder for inhalation,powder
Sterile Powder for Injection,sterile powder for injection,powder
Capsules,capsules,capsule
Forte Syrup,forte syrup,syrup
Iv Solution,iv solution,solution
Dispersible Tablet,dispersible tablet,tablet
Powder For Injection (Iv/Im),powder for injection iv im,powder
Otic Suspension,otic suspension,suspension
Solution (Ophthalmic Drops),solution ophthalmic drops,solution
Suspension (Strawberry Flavor),suspension strawberry flavor,suspension
Suspension (Melon Flavor),suspension melon flavor,suspension
ER Tablet,er tablet,tablet
Film Tablet,film tablet,tablet
Sustained-Release Film-Coated Tablet,sustained-release film-coated tablet,suspension
Emulgel,emulgel,
Film -Coated Tablet,film -coated tablet,tablet
Suspension/Syrup,suspension syrup,suspension
Solution For Injection (Iv/Im/Sc),solution for injection iv im sc,solution
Lyophilized Powder for IM/IV Injection,lyophilized powder for im iv injection,powder
Solution For Injection (Im),solution for injection im,solution
Soft Gel Capsule,soft gel capsule,capsule
Sterile Otic Suspension (Ear Drops),sterile otic suspension ear drops,suspension
Sterile Ophthalmic Suspension(Eye Drops),sterile ophthalmic suspensioneye drops,suspension
Pediatric Suppository,pediatric suppository,suppository
Sterile Ophthalmic Suspension (Drops),sterile ophthalmic suspension drops,suspension
Sterile Otic Suspension,sterile otic suspension,suspension
Solution For Nebulization,solution for nebulization,solution
"Solution for Injection 
(I.M.A.V.)",solution for injection imav,solution
Sterile Ophthalmic Suspension Eye Drops,sterile ophthalmic suspension eye drops,suspension
Enteric Coated Tablet,enteric coated tablet,tablet
Concentrate For Iv Infusion Or Oral Solution,concentrate for iv infusion or oral solution,concentrate
Respiratory Suspension,respiratory suspension,suspension
ophthalmic ointment,ophthalmic ointment,ointment
Emulsion For Intravenous Injection,emulsion for intravenous injection,emulsion
Soft-gelatin capsule,soft-gelatin capsule,capsule
Antiviral,antiviral,
Prolonged-Release Powder For Injection (Im),prolonged-release powder for injection im,powder
Prolonged-Release Powder For Suspension For Injection (Im),prolonged-release powder for suspension for injection im,powder
Sterile Ophthamic Solution,sterile ophthamic solution,solution
Sustained-Release Capsule,sustained-release capsule,suspension
Film - Coated  Tablet,film - coated tablet,tablet
Powder For Injection (I.V./I.V. Infusion),powder for injection iv iv infusion,powder
Sodium for injection IV / IM,sodium for injection iv im,
Gastro-Resistant Tablets (Film-Coated),gastro-resistant tablets film-coated,tablet
Delayed Released Tablet,delayed released tablet,tablet
Spray Solution,spray solution,solution
Saline Solution,saline solution,solution
Powder For Solution,powder for solution,powder
Solution For Nasal Spray,solution for nasal spray,solution
Nebulizing Solution For Inhalation,nebulizing solution for inhalation,solution
Emulsion For Intravenous Infusion,emulsion for intravenous infusion,emulsion
Powder For Injection (I.V/I.M.),powder for injection iv im,powder
SOLUTION FOR INJECTION,solution for injection,solution
Suspension for nebulization,suspension for nebulization,suspension
Sterile Opthalmic Gel,sterile opthalmic gel,
Solution For Injection (IM/IV/SC),solution for injection im iv sc,solution
Powder For Injection/Infusion (Iv),powder for injection infusion iv,powder
Fast Disintegrating Tablet,fast disintegrating tablet,tablet
Powder For Injection (I.M/I.V.),powder for injection im iv,powder
2 GRAM TEA BAG,gram tea bag,tea
Solution for Injection (For Intravenous Infusion Only),solution for injection for intravenous infusion only,solution
Lyopjilized Powder for Injection (IV),lyopjilized powder for injection iv,powder
Lyopjilized Powder For Injection (Iv),lyopjilized powder for injection iv,powder
Lyophilized  Powder for Injection (IV),lyophilized powder for injection iv,powder
Concentrate For Solustion For I.V. Infusion,concentrate for solustion for iv infusion,concentrate
Solution For Injection (I.M/I.V.),solution for injection im iv,solution
Metered-Dose Inhaler,metered-dose inhaler,inhaler
Suspension;Suspension;Syrup,suspensionsuspensionsyrup,suspension
Solution For Nebulization (Pulmoneb),solution for nebulization pulmoneb,solution
Syrup (Cherry Flavor),syrup cherry flavor,syrup
Sprinkle Capsule,sprinkle capsule,capsule
Powder for Oral Solution,powder for oral solution,powder
Ophthalmic Emulsion,ophthalmic emulsion,emulsion
Suspension For Injection(Im),suspension for injectionim,suspension
Powder For Injection (IV),powder for injection iv,powder
Sterile Solution For Iv Infusion,sterile solution for iv infusion,solution
Sterile Suspension (Ophthalmic Drops),sterile suspension ophthalmic drops,suspension
"Solution for IV Infusion (Pediatric 
Solution)",solution for iv infusion pediatric solution,solution
Concentrate Solution For Iv Infusion,concentrate solution for iv infusion,concentrate
Opththalmic Solution,opththalmic solution,solution
Vial Powder For Injection,vial powder for injection,powder
SOLUTION FOR IV INFUSION,solution for iv infusion,solution
Syrup (Orange Flavor),syrup orange flavor,syrup
Kit Contains Suspension + Syrup,kit contains suspension syrup,suspension
otic drops,otic drops,drops
Solution for Inhalation (Metered Dose Inhaler),solution for inhalation metered dose inhaler,solution
Syrup (Oral Drops) - Grape Flavor,syrup oral drops - grape flavor,syrup
Forte Suspension,forte suspension,suspension
Dusting Powder,dusting powder,powder
Lyophilized Powder for Injection (IV Infusion),lyophilized powder for injection iv infusion,powder
ophthalmic solution,ophthalmic solution,solution
Solution for Irrigation,solution for irrigation,solution
Lyophilized Powder For Intravenous Injection And Infusion,lyophilized powder for intravenous injection and infusion,powder
Powder For Injection (I.V./I.M.),powder for injection iv im,powder
Syrup (Grape Flavor),syrup grape flavor,syrup
Vaginal Tablet,vaginal tablet,tablet
"Film-Coated Tablet( contains Sustained- Release Verapamil layer and 
Immediate-Release Trandolapril layer )",film-coated tablet contains sustained- release verapamil layer and immediate-release trandolapril layer,suspension
Liquid for Inhalation,liquid for inhalation,liquid
Emulsion for Infusion (IV),emulsion for infusion iv,emulsion
Powder for Solution for Intratracheal Infusion,powder for solution for intratracheal infusion,powder
Lyophilized Sterile Powder For Injection (Iv),lyophilized sterile powder for injection iv,powder
Intavenous injection,intavenous injection,
Concentrate Solution for IV Infusion,concentrate solution for iv infusion,concentrate
Concentrate For Intravenous Infusion,concentrate for intravenous infusion,concentrate
Concentrate Solution,concentrate solution,concentrate
Sterile Ophthalmic Solution(Drops),sterile ophthalmic solutiondrops,solution
Sterile Powder for Injection (IM/IV),sterile powder for injection im iv,powder
Sustained Release Capsule,sustained release capsule,suspension
Solution for IV Infusion (),solution for iv infusion,solution
Film-Coated tablet,film-coated tablet,tablet
Lyophilized Powder Injection (IV),lyophilized powder injection iv,powder
Otic Solution (Drops),otic solution drops,solution
Suppository (Rectal),suppository rectal,suppository
Powder For Injection (Iv Infusion),powder for injection iv infusion,powder
Water for Injection,water for injection,
Concentrate for Solution for Injection (IV),concentrate for solution for injection iv,concentrate
Suspension for Injection (1.M.),suspension for injection m,suspension
Solution for Injection (IM/IV/IA),solution for injection im iv ia,solution
Prolonged Release Film-Coated Tablet,prolonged release film-coated tablet,tablet
Solution for Injection/Infusion,solution for injection infusion,solution
Syrup (COLA Flavor),syrup cola flavor,syrup
Powder for Injection (I.V./I.M.),powder for injection iv im,powder
Lozenge,lozenge,lozenge
Lyophilized Powder For Iv Infusion,lyophilized powder for iv infusion,powder
Delayed Release Tablet,delayed release tablet,tablet
Transdermal patch,transdermal patch,patch
Flim-Coated Tablet,flim-coated tablet,tablet
Soln For Inj (Im/Iv),soln for inj im iv,solution
Powder For Suspension Oral Drops,powder for suspension oral drops,powder
Solution For Injection In Pre-Filled Syringe,solution for injection in pre-filled syringe,solution
Fim-Coated Tablet,fim-coated tablet,tablet
Astringent Solution,astringent solution,solution
Solution For Injection (Iv/Ia),solution for injection iv ia,solution
Adult Solution (Oral Drops),adult solution oral drops,solution
Solution For Injection/ 125 Mg/Ml (500 Mg/4 Ml),solution for injection mg ml mg ml,solution
Delayed-Release Capsule,delayed-release capsule,capsule
Sterile Ophthalmic Solution [Benzalkonium chloride (BAK) Free Formula],sterile ophthalmic solution benzalkonium chloride bak free formula,solution
Sterile Opthalmic Solution,sterile opthalmic solution,solution
Oil-In-Water Emulsion For Injection (Iv Infusion),oil-in-water emulsion for injection iv infusion,emulsion
O/W Emulsion for Injection (IV/IV Infusion),o w emulsion for injection iv iv infusion,emulsion
Opthalmic Solution,opthalmic solution,solution
Sterile Solution For Injection Im/Iv,sterile solution for injection im iv,solution
Emulsion For Iv Infusion,emulsion for iv infusion,emulsion
Dry Powder for Inhalation in Capsule,dry powder for inhalation in capsule,powder
Sterile Opthalmic Solution (Eye Drops),sterile opthalmic solution eye drops,solution
Lyophilized Powder,lyophilized powder,powder
Solution For Injection Im/Iv,solution for injection im iv,solution
Solution For Injection (Ia/Iv),solution for injection ia iv,solution
Sterile Suspension for IM Injection,sterile suspension for im injection,suspension
Powder for Injection (M/IV),powder for injection m iv,powder
Steril Solution For Injection,steril solution for injection,solution
Sterile Solution For Injection,sterile solution for injection,solution
Pediatric Granules,pediatric granules,granules
Sterile Solution Ophthalmic Dye,sterile solution ophthalmic dye,solution
Powder for Injection (I.M./ I.V.),powder for injection im iv,powder
Sachet Oral Powder,sachet oral powder,powder
Emteric Coated Tablet,emteric coated tablet,tablet
Powder for injection (IV Infusion),powder for injection iv infusion,powder
"Tablet, extended release",tablet extended release,tablet
Soln. For Infusion (I.V.),soln for infusion iv,solution
I.V. Solution,iv solution,solution
Volatile Liquid for Inhalation,volatile liquid for inhalation,liquid
Solution for IV Infusion (Isotonic with 0.9% Sodium Chloride),solution for iv infusion isotonic with sodium chloride,solution
Granules,granules,granules
Solution for Intravenous Injection (I.V.),solution for intravenous injection iv,solution
CREAM,cream,cream
Metered Dose Inhaler (Cfc Free),metered dose inhaler cfc free,inhaler
Powder For Injetion (Im/Iv),powder for injetion im iv,powder
Sterile Ophthalmic Solution (eye drops),sterile ophthalmic solution eye drops,solution
Lipid Complex Suspension for Injection (IV),lipid complex suspension for injection iv,suspension
DELAYED-RELEASE CAPSULE,delayed-release capsule,capsule
Suspension For Nasal Spray,suspension for nasal spray,suspension
Powder for I.M/I.V.,powder for im iv,powder
Solution for Intravenous Infusion (IV),solution for intravenous infusion iv,solution
Normal Saline Solution,normal saline solution,solution
Sterile Water for Injection (Solution),sterile water for injection solution,solution
Lyophilized Powder For I.V. Infusion,lyophilized powder for iv infusion,powder
Granules For Suspesion (Drops),granules for suspesion drops,suspension
Oral Lyophilisate,oral lyophilisate,lyophilisate
Film coated Tablet,film coated tablet,tablet
ointment,ointment,ointment
Sterile Opthalmic Suspension,sterile opthalmic suspension,suspension
concentrated solution for iv infusion,concentrated solution for iv infusion,solution
Sterile Powder For Injection,sterile powder for injection,powder
Gastro-Resistant Granules For Oral Suspension,gastro-resistant granules for oral suspension,suspension
Throat Spray,throat spray,spray
Granules for Suspension (Orange Flavor),granules for suspension orange flavor,suspension
Granules For Oral Injection,granules for oral injection,granules
Powder For Injection (I.M./I.V),powder for injection im iv,powder
Powder for Oral Drops,powder for oral drops,powder
Lyophilized Powder For Injection (I.V. Infusion),lyophilized powder for injection iv infusion,powder
Lyophilized Powder For Injection (I.V. ),lyophilized powder for injection iv,powder
Metered Dose Nasal Spray,metered dose nasal spray,spray
Concentrate Solution for Injection (IV),concentrate solution for injection iv,concentrate
Powder For Injection (I.V),powder for injection iv,powder
Lyophilized Powder for IV Infusion,lyophilized powder for iv infusion,powder
Powder For Intravenous Injection,powder for intravenous injection,powder
Syrup;Suspension;Suspension,syrupsuspensionsuspension,suspension
Solution For I.V Infusion,solution for iv infusion,solution
Tablets,tablets,tablet
Softgel Capsules,softgel capsules,capsule
"Solution for Injection or 
Concentrate for Solution for Infusion (I.M./I.V.)",solution for injection or concentrate for solution for infusion im iv,concentrate
Sterile Ophthalmic Drops,sterile ophthalmic drops,drops
Controlled Release Capsule,controlled release capsule,capsule
Powder for Injection (IM / IV),powder for injection im iv,powder
Powder for Injection IM,powder for injection im,powder
Film coated tablet,film coated tablet,tablet
Solution for SC/IV Injection/Infusion,solution for sc iv injection infusion,solution
Eye Drops Solution,eye drops solution,solution
Concentrate For Solution For IV Infusion,concentrate for solution for iv infusion,concentrate
Oral Rinse Solution,oral rinse solution,solution
Lyophilized Powder for IV  Injection,lyophilized powder for iv injection,powder
Ophthalmic Suspension (Eye Drops),ophthalmic suspension eye drops,suspension
film coated tablet,film coated tablet,tablet
Opththalmic Suspensio (eye Drops),opththalmic suspensio eye drops,suspension
Effervescent Granules,effervescent granules,granules
Pfi (I.M. / I.V.),pfi im iv,
Lyophilized Powder For Injection (I.M./I.V.),lyophilized powder for injection im iv,powder
Sterile Otic Solution(Ear Drops),sterile otic solutionear drops,solution
Nasal Solution (Spray),nasal solution spray,solution
Concentrate Solution for I.V. Infusion,concentrate solution for iv infusion,concentrate
Sterile Ophthalmic Suspension (Eye Drops),sterile ophthalmic suspension eye drops,suspension
See Formulation On Reverse Side,see formulation on reverse side,
Modified- Release Tablet,modified- release tablet,tablet
Sterile Powder For Injection (IV),sterile powder for injection iv,powder
Sterile Powder For Injection (I.V.),sterile powder for injection iv,powder
Prolonged Release Capsule,prolonged release capsule,capsule
Solution For I.V. Injection,solution for iv injection,solution
Sodium Chloride Solution for Intravenous Infusion,sodium chloride solution for intravenous infusion,solution
Fine Granules,fine granules,granules
Hard Capsule,hard capsule,capsule
Sol for Injection (IV/IV Infusion),sol for injection iv iv infusion,solution
Powder for Injection (I.M.),powder for injection im,powder
TABLET,tablet,tablet
Solution For Injection I.M./I.V.),solution for injection im iv,solution
Powder for injection (I.M./I.V.),powder for injection im iv,powder
Dry Powder Inhalation In Capsule,dry powder inhalation in capsule,powder
Oral Powder For Suspension,oral powder for suspension,powder
Solution for injection ( IV Infusion),solution for injection iv infusion,solution
Modified-Release Capsule,modified-release capsule,capsule
Solution for Im Injection,solution for im injection,solution
Concentrate Solution For IV Infusion,concentrate solution for iv infusion,concentrate
Transderma Patch,transderma patch,patch
Lyophilized Powder For Injection (IV Infusion),lyophilized powder for injection iv infusion,powder
Powder for oral Suspension,powder for oral suspension,powder
SUPPOSITORY,suppository,suppository
Controlled Release Tablet,controlled release tablet,tablet
Solution For Injection For I.V. Infusion,solution for injection for iv infusion,solution
Powder for Oral Inhalation,powder for oral inhalation,powder
Microsphere Gel,microsphere gel,
Powder for I.V. Infusion,powder for iv infusion,powder
Antibacterial (Fluoroquinolone),antibacterial fluoroquinolone,
Powder for Intravenous Injection (I.V.),powder for intravenous injection iv,powder
Opthalmic Solution ( Drops ),opthalmic solution drops,solution
Concentrate Solution For Infusion,concentrate solution for infusion,concentrate
Powder For Injection  (IM),powder for injection im,powder
Effervescent Granules For Solution,effervescent granules for solution,solution
Sustained- Release Tablet,sustained- release tablet,suspension
Solution For Intravenous Injection,solution for intravenous injection,solution
Powder For Iv Injection,powder for iv injection,powder
Solutiuon For Intravenous Infusion,solutiuon for intravenous infusion,
Nasal Spray Solution,nasal spray solution,solution
Emulsion for Injection (I.V.),emulsion for injection iv,emulsion
"Solution for Intravenous 
Infusion",solution for intravenous infusion,solution
Lyophilized Powder for IV Injection,lyophilized powder for iv injection,powder
Lyophilized Powder for I.V. Infusion,lyophilized powder for iv infusion,powder
Sterile Water for Injection (IM/IV),sterile water for injection im iv,
Powder For Injection + Solution For Injection,powder for injection solution for injection,powder
Solution Spray,solution spray,solution
Controlled-Release Capsule,controlled-release capsule,capsule
Lyophilized Powder for Injection (I.M./I.V.),lyophilized powder for injection im iv,powder
Prolonged Release Suspension For Injection (IM),prolonged release suspension for injection im,suspension
Solution for Injection (I.V),solution for injection iv,solution
Fat Emulsion for Infusion (I.V.),fat emulsion for infusion iv,emulsion
Fat Emulsion For Iv Infusion,fat emulsion for iv infusion,emulsion
Powder For Injection (IV/SC),powder for injection iv sc,powder
Enteric Coated Capsule,enteric coated capsule,capsule
Powder for Oral Injection,powder for oral injection,powder
Capsule (see reverse for formulation),capsule see reverse for formulation,capsule
Softgel Caspule,softgel caspule,
Solutionn for IV Infusion,solutionn for iv infusion,solution
Lyophilized Powder For Injection (Iv Infusion),lyophilized powder for injection iv infusion,powder
Caplet,caplet,capsule
OTIC SOLUTION,otic solution,solution
Soft Gelatin Capsule,soft gelatin capsule,capsule
Orally Distintegrating Tablet,orally distintegrating tablet,tablet
Solution for Injection / Infusion,solution for injection infusion,solution
Concentrate Solution (IV),concentrate solution iv,concentrate
"Concentrate Solution for 
IV Infusion",concentrate solution for iv infusion,concentrate
Solution for Injection (Local Infiltration),solution for injection local infiltration,solution
Buffered Solution Nasal Drops,buffered solution nasal drops,solution
Solution for injection (IV/IM/SC),solution for injection iv im sc,solution
Nasal Solution (Drops),nasal solution drops,solution
Lyophilized Powder For I.V Infusion,lyophilized powder for iv infusion,powder
Lyophilized Powder For IV Infusion,lyophilized powder for iv infusion,powder
Solution For injection (Im/Iv),solution for injection im iv,solution
Medicated Plaster,medicated plaster,plaster
Monitored-Release Tablet,monitored-release tablet,tablet
Soft Gelatin Capsule For Vaginal Use,soft gelatin capsule for vaginal use,capsule
Modified-Release Vaginal Suppository,modified-release vaginal suppository,suppository
Solution  for Injection (IV),solution for injection iv,solution
Powder Fo Suspension (Oral Drops),powder fo suspension oral drops,powder
Powder For Injection (IM),powder for injection im,powder
Film Coated tablet,film coated tablet,tablet
POWDER FOR INJECTION (IM/IV),powder for injection im iv,powder
Chewable tablet,chewable tablet,tablet
Sustained-release Tablet,sustained-release tablet,suspension
Emulsion For IV Infusion,emulsion for iv infusion,emulsion
POWDER FOR INJECTION,powder for injection,powder
Oral Disintegrating Tablet,oral disintegrating tablet,tablet
Concentrate for Solution for Injection (I. V.),concentrate for solution for injection i v,concentrate
Lyophilized Powder For Injection  Iv Infusion,lyophilized powder for injection iv infusion,powder
FILM COATED TABLET,film coated tablet,tablet
Concentrate For Solution For Iv Infusion,concentrate for solution for iv infusion,concentrate
Solution For Irrigation,solution for irrigation,solution
Eye Drops,eye drops,drops
Soln For Inhalation,soln for inhalation,solution
Granules for suspension,granules for suspension,suspension
Metered Dose Inhaler (Cfc-Free),metered dose inhaler cfc-free,inhaler
Sterile Suspension (Intratracheal/Intrabronchial),sterile suspension intratracheal intrabronchial,suspension
ENTERIC-COATED TABLET,enteric-coated tablet,tablet
Freeze-Dried Powder for Injection,freeze-dried powder for injection,powder
Subdermal Implant,subdermal implant,implant
Powder For oral Suspension (oral Drops),powder for oral suspension oral drops,powder
Delayed Release Capsule,delayed release capsule,capsule
Powder For Injection  Iv,powder for injection iv,powder
Concentrate Solution For I.V. Infusion,concentrate solution for iv infusion,concentrate
Granules For Oral Solution,granules for oral solution,solution
Powder For I.V. Injection,powder for iv injection,powder
Powder for I.V. Injection,powder for iv injection,powder
Powder For Injection (Im/ Iv),powder for injection im iv,powder
Delayed-Release Tablet :,delayed-release tablet,tablet
Powder For injection (Iv),powder for injection iv,powder
Solution For Peripheral Venous Infusion,solution for peripheral venous infusion,solution
Solution For Injecion (I.V),solution for injecion iv,solution
Solution For (Iv) Injection,solution for iv injection,solution
Buffered Solution Nasal Spray,buffered solution nasal spray,solution
Opthalmic Solution Drops,opthalmic solution drops,solution
Solution For Injection (I.M./S.C.),solution for injection im sc,solution
Dry powder for Inhalation,dry powder for inhalation,powder
Concentrate Sterile Solution For Iv Infusion,concentrate sterile solution for iv infusion,concentrate
Lyophilized Powder for Injection I.V. Infusion,lyophilized powder for injection iv infusion,powder
Solution for Injection (I.V Infusion),solution for injection iv infusion,solution
Solution For Injection (IM/IV/SC,solution for injection im iv sc,solution
Powder For injection (Im/Iv),powder for injection im iv,powder
Lyophilized Powder For Injection (IV),lyophilized powder for injection iv,powder
Dry Powder For Inhalation Capsule,dry powder for inhalation capsule,powder
Volatile Liquid For Inhalation,volatile liquid for inhalation,liquid
Emulsion For Iv Injection,emulsion for iv injection,emulsion
Solution For Nanoparticle Injection For Infusion (IV),solution for nanoparticle injection for infusion iv,solution
Lyophilized Powder For Injection (Iv Infusion,lyophilized powder for injection iv infusion,powder
Nasal Sray,nasal sray,
Fim-coated Tablet,fim-coated tablet,tablet
Soft Gelatin Capsule (For Vaginbal Use),soft gelatin capsule for vaginbal use,capsule
Disperable Tablet,disperable tablet,tablet
Opthalmic Suspension,opthalmic suspension,suspension
Dry Powder For Inhalation In Capsule,dry powder for inhalation in capsule,powder
Powder For Injection  (Im/Iv),powder for injection im iv,powder
Solution For Injection (IM/SC/IV),solution for injection im sc iv,solution
Vaginal Soft Gelatin Capsule,vaginal soft gelatin capsule,capsule
Solution For Injection for IV Infusion,solution for injection for iv infusion,solution
Lyophilized Powder for Injection (IM/IV),lyophilized powder for injection im iv,powder
Lyophilized Powder For Iv Injection/Infusion,lyophilized powder for iv injection infusion,powder
Solution For Injection (I.V. Infusion),solution for injection iv infusion,solution
Powder for Concentrate for Solution for Injection (Intravenous Infusion),powder for concentrate for solution for injection intravenous infusion,powder
DispersIble Tablet,dispersible tablet,tablet
