original,tok_sent,drug_form_phrase,drug_roa_phrase,form_format,roa_format,roa_detail_1,roa_detail_2
Concentrate for Solution for Intravenous InfusionSolution for Injection,concentrate for solution for intravenous infusionsolution for injection,concentrate,solution for intravenous infusionsolution for injection,concentrate,solution,['intravenous'],['injection']
Sterile Ophthalmic Solution (Eye Drops),sterile ophthalmic solution eye drops,sterile ophthalmic solution eye drops,,solution,,[],[]
Suppository,suppository,suppository,,suppository,,[],[]
Elixir,elixir,elixir,,elixir,,[],[]
Emollient Cream,emollient cream,emollient cream,,cream,,[],[]
Powder For Injection (Iv),powder for injection iv,powder,injection iv,powder,,['iv'],['injection']
Powder for Suspension (Drops),powder for suspension drops,powder,suspension drops,powder,suspension,[],['suspension']
"Solution for Injection (Epidural, Local Infiltration)",solution for injection epidural local infiltration,solution,injection epidural local infiltration,solution,,"['epidural', 'local']",['injection']
Syrup (Drops),syrup drops,syrup drops,,syrup,,[],[]
Solution For I.V. Infusion,solution for iv infusion,solution,iv infusion,solution,,['iv'],['infusion']
Powder For Iv Infusion,powder for iv infusion,powder,iv infusion,powder,,['iv'],['infusion']
Ophthalmic/Otic Suspension (Drops),ophthalmic otic suspension drops,ophthalmic otic suspension drops,,suspension,,[],[]
Otic Suspension (Drops),otic suspension drops,otic suspension drops,,suspension,,[],[]
"Tablet, sustained release",tablet sustained release,tablet sustained release,,tablet,,[],[]
"Tablet, long acting",tablet long acting,tablet long acting,,tablet,,[],[]
Modified-Release Tablet,modified-release tablet,modified-release tablet,,tablet,,[],[]
Modified Release Tablet,modified release tablet,modified release tablet,,tablet,,[],[]
Solution for infusion (IV),solution for infusion iv,solution,infusion iv,solution,,['iv'],['infusion']
Solution for Iv Infusion,solution for iv infusion,solution,iv infusion,solution,,['iv'],['infusion']
Ophthalmic Suspension,ophthalmic suspension,ophthalmic suspension,,suspension,,[],[]
Solution for I.V Infusion,solution for iv infusion,solution,iv infusion,solution,,['iv'],['infusion']
Solution for Inhalation,solution for inhalation,solution,inhalation,solution,,[],['inhalation']
Syrup (Strawberry Flavor),syrup strawberry flavor,syrup strawberry flavor,,syrup,,[],[]
Sterile Ophthalmic Solution (Drops),sterile ophthalmic solution drops,sterile ophthalmic solution drops,,solution,,[],[]
Buffered Solutions (Nasal Drops),buffered solutions nasal drops,buffered solutions nasal drops,,drops,,[],[]
Oral Solution,oral solution,oral solution,,solution,,[],[]
Ophthalmic Solution,ophthalmic solution,ophthalmic solution,,solution,,[],[]
Not Applicable,not applicable,not applicable,,,,[],[]
Powder for Inhalation,powder for inhalation,powder,inhalation,powder,,[],['inhalation']
Nebulizing Suspension (Sterile),nebulizing suspension sterile,nebulizing suspension sterile,,suspension,,[],[]
Dialysis Solution,dialysis solution,dialysis solution,,solution,,[],[]
Strerile Water for Injection,strerile water for injection,strerile water,injection,,,[],['injection']
Ophthalmic Ointment,ophthalmic ointment,ophthalmic ointment,,ointment,,[],[]
cream,cream,cream,,cream,,[],[]
Oral Gel,oral gel,oral gel,,gel,,[],[]
Medicated Oil,medicated oil,medicated oil,,oil,,[],[]
Ophthalmic Solution (Eye Drops),ophthalmic solution eye drops,ophthalmic solution eye drops,,solution,,[],[]
Ophthalmic Suspension (Drops),ophthalmic suspension drops,ophthalmic suspension drops,,suspension,,[],[]
Granules For Suspension,granules for suspension,granules,suspension,granules,suspension,[],['suspension']
Solution For Iv Solution,solution for iv solution,solution,iv solution,solution,solution,['iv'],[]
Powder For Injection,powder for injection,powder,injection,powder,,[],['injection']
Solution,solution,solution,,solution,,[],[]
Susupension,susupension,susupension,,,,[],[]
Powder for Injection (IM/SC) [Sustained Release],powder for injection im sc sustained release,powder,injection im sc sustained release,powder,,"['im', 'sc']",['injection']
Solution for Injection (IV or Intravesical),solution for injection iv or intravesical,solution,injection iv or intravesical,solution,,"['intravesical', 'iv']",['injection']
Granules For Oral Suspension,granules for oral suspension,granules,oral suspension,granules,suspension,['oral'],['suspension']
Sterile Ophthalmic Ointment,sterile ophthalmic ointment,sterile ophthalmic ointment,,ointment,,[],[]
Suspension For Injection (Im/ Intra-Articular/  IntraBursal/ Periarticular/ Intralesional),suspension for injection im intra-articular intrabursal periarticular intralesional,suspension,injection im intra-articular intrabursal periarticular intralesional,suspension,,"['im', 'intrabursal', 'intralesional', 'intra-articular']",['injection']
Solution for Injection (IM / IV),solution for injection im iv,solution,injection im iv,solution,,"['im', 'iv']",['injection']
Solution for Injection (1.M./I.V.),solution for injection m iv,solution,injection m iv,solution,,['iv'],['injection']
Solution (amber bottle x 30mL),solution amber bottle x ml,solution amber bottle x ml,,solution,,[],[]
SOLUTION (Nail Lacquer),solution nail lacquer,solution nail lacquer,,solution,,[],[]
Suspension For Intratracheal Administration,suspension for intratracheal administration,suspension,intratracheal administration,suspension,,['intratracheal'],[]
Lyophilized Powder For Injection (I.V.),lyophilized powder for injection iv,lyophilized powder,injection iv,powder,,['iv'],['injection']
Aqueous Nasal Spray,aqueous nasal spray,aqueous nasal spray,,spray,,[],[]
GRANULES FOR SUSPENSION,granules for suspension,granules,suspension,granules,suspension,[],['suspension']
Powder for Intravenous (IV) Infusion,powder for intravenous iv infusion,powder,intravenous iv infusion,powder,,"['intravenous', 'iv']",['infusion']
Powder For Injection (IM/IV),powder for injection im iv,powder,injection im iv,powder,,"['im', 'iv']",['injection']
Powder for Injection (I.M./I.V.),powder for injection im iv,powder,injection im iv,powder,,"['im', 'iv']",['injection']
Liquid Oil (Sweet Orange Flavor),liquid oil sweet orange flavor,liquid oil sweet orange flavor,,liquid,,[],[]
Gel,gel,gel,,gel,,[],[]
Solution (Oral Drops),solution oral drops,solution oral drops,,solution,,[],[]
Granules for Oral Suspension,granules for oral suspension,granules,oral suspension,granules,suspension,['oral'],['suspension']
Sterile Powder For Infusion,sterile powder for infusion,sterile powder,infusion,powder,,[],['infusion']
Intraocular Irrigating Solution,intraocular irrigating solution,intraocular irrigating solution,,solution,,[],[]
Emulsion for IV Infusion,emulsion for iv infusion,emulsion,iv infusion,emulsion,,['iv'],['infusion']
Suspension (Orange Flavor),suspension orange flavor,suspension orange flavor,,suspension,,[],[]
Nebulizing Solution,nebulizing solution,nebulizing solution,,solution,,[],[]
Depot In Pre-Filled Syringe (Sc Injection),depot in pre-filled syringe sc injection,depot in pre-filled syringe sc injection,,,,[],[]
Syrup (Oral Drops) Orange Flavor,syrup oral drops orange flavor,syrup oral drops orange flavor,,syrup,,[],[]
Solution for Nebulizing,solution for nebulizing,solution,nebulizing,solution,,[],['nebulizing']
Extended-Release Tablet,extended-release tablet,extended-release tablet,,tablet,,[],[]
Granules For Suspension (Drops),granules for suspension drops,granules,suspension drops,granules,suspension,[],['suspension']
Powder For Susp.(Oral Drops),powder for susporal drops,powder,susporal drops,powder,drops,['susporal'],[]
SYRUP,syrup,syrup,,syrup,,[],[]
Solution for Intravenous Injection,solution for intravenous injection,solution,intravenous injection,solution,,['intravenous'],['injection']
Solution for IV Injection,solution for iv injection,solution,iv injection,solution,,['iv'],['injection']
Solution for Injection (SC/IM/IV),solution for injection sc im iv,solution,injection sc im iv,solution,,"['im', 'sc', 'iv']",['injection']
IV Solution,iv solution,iv solution,,solution,,[],[]
Oral Tablet,oral tablet,oral tablet,,tablet,,[],[]
Suspension (See reverse for formulation),suspension see reverse for formulation,suspension see reverse,formulation,suspension,,[],[]
SUSPENSION,suspension,suspension,,suspension,,[],[]
Ophthalmic Solution (Drops),ophthalmic solution drops,ophthalmic solution drops,,solution,,[],[]
Sterile Concentrate Solution for I.V. Infusion,sterile concentrate solution for iv infusion,sterile concentrate solution,iv infusion,concentrate,,['iv'],['infusion']
Herbal Tea,herbal tea,herbal tea,,tea,,[],[]
Granules for Suspension (Oral Drops),granules for suspension oral drops,granules,suspension oral drops,granules,suspension,['oral'],['suspension']
Parenteral Solution For I.V. Infusion,parenteral solution for iv infusion,parenteral solution,iv infusion,solution,,['iv'],['infusion']
Opthalmic Solution (Drops),opthalmic solution drops,opthalmic solution drops,,solution,,[],[]
"Solution, oral",solution oral,solution oral,,solution,,[],[]
Retard Tablet,retard tablet,retard tablet,,tablet,,[],[]
Powder for Aqueous Injection,powder for aqueous injection,powder,aqueous injection,powder,,[],['injection']
Powder For Suspension (Drops),powder for suspension drops,powder,suspension drops,powder,suspension,[],['suspension']
LOTION,lotion,lotion,,lotion,,[],[]
Granule For Suspension (Oral Drops),granule for suspension oral drops,granule,suspension oral drops,granule,suspension,['oral'],['suspension']
Solution for Injection (I.M. /I.V.),solution for injection im iv,solution,injection im iv,solution,,"['im', 'iv']",['injection']
Solution for I.V. Injection (IV),solution for iv injection iv,solution,iv injection iv,solution,,['iv'],['injection']
Trandermal Patch,trandermal patch,trandermal patch,,patch,,[],[]
Sterile Powder for Injection (I.M/I.V),sterile powder for injection im iv,sterile powder,injection im iv,powder,,"['im', 'iv']",['injection']
Parenteral Solution,parenteral solution,parenteral solution,,solution,,[],[]
Solution For Injection (IV Infusion),solution for injection iv infusion,solution,injection iv infusion,solution,,['iv'],"['injection', 'infusion']"
CAPSULE,capsule,capsule,,capsule,,[],[]
Sterile Powder for Injection (I.M),sterile powder for injection im,sterile powder,injection im,powder,,['im'],['injection']
Scalp Lotion,scalp lotion,scalp lotion,,lotion,,[],[]
Solution For Injection (I.M./S.C./I.V.),solution for injection im sc iv,solution,injection im sc iv,solution,,"['im', 'sc', 'iv']",['injection']
Oral Suspension (Choco Flavor),oral suspension choco flavor,oral suspension choco flavor,,suspension,,[],[]
Powder for Injection (IM/IV/SC),powder for injection im iv sc,powder,injection im iv sc,powder,,"['im', 'sc', 'iv']",['injection']
Dental Paste,dental paste,dental paste,,paste,,[],[]
"Powder For Injection (Im/Sc) 
Sustained Release",powder for injection im sc sustained release,powder,injection im sc sustained release,powder,,"['im', 'sc']",['injection']
Powder for Injection (IM/IV),powder for injection im iv,powder,injection im iv,powder,,"['im', 'iv']",['injection']
Nasal Spray,nasal spray,nasal spray,,spray,,[],[]
Dispersible/Chewable Tablet,dispersible chewable tablet,dispersible chewable tablet,,tablet,,[],[]
Granules For Suspension (Pineapple Flavor),granules for suspension pineapple flavor,granules,suspension pineapple flavor,granules,suspension,[],['suspension']
Powder for injection (IM / IV),powder for injection im iv,powder,injection im iv,powder,,"['im', 'iv']",['injection']
Softgel capsule,softgel capsule,softgel capsule,,capsule,,[],[]
Rectal Suspension for Enema,rectal suspension for enema,rectal suspension,enema,suspension,enema,[],[]
See attached,see attached,see attached,,,,[],[]
Granules for Oral Solution,granules for oral solution,granules,oral solution,granules,solution,['oral'],[]
Enteric-Coated Tablet,enteric-coated tablet,enteric-coated tablet,,tablet,,[],[]
Powder for Suspension (Oral drops),powder for suspension oral drops,powder,suspension oral drops,powder,suspension,['oral'],['suspension']
Sterile Ophthalmic Gel,sterile ophthalmic gel,sterile ophthalmic gel,,gel,,[],[]
Soft-Gelatin Capsule,soft-gelatin capsule,soft-gelatin capsule,,capsule,,[],[]
Powder for suspension (Oral Drops),powder for suspension oral drops,powder,suspension oral drops,powder,suspension,['oral'],['suspension']
Powder For Oral Solution,powder for oral solution,powder,oral solution,powder,solution,['oral'],[]
Sustained-Release Tablet,sustained-release tablet,sustained-release tablet,,tablet,,[],[]
Ophthalmic Gel,ophthalmic gel,ophthalmic gel,,gel,,[],[]
Powder For Oral Suspension (Oral Drops),powder for oral suspension oral drops,powder,oral suspension oral drops,powder,suspension,['oral'],['suspension']
Powder For Suspension (Oral Drops ),powder for suspension oral drops,powder,suspension oral drops,powder,suspension,['oral'],['suspension']
Solution for Intravascular Injection,solution for intravascular injection,solution,intravascular injection,solution,,['intravascular'],['injection']
Oral Drops,oral drops,oral drops,,drops,,[],[]
Solution For Peritoneal Dialysis,solution for peritoneal dialysis,solution,peritoneal dialysis,solution,,['peritoneal'],[]
Solution for Intraperitoneal Administration,solution for intraperitoneal administration,solution,intraperitoneal administration,solution,,['intraperitoneal'],[]
tablet,tablet,tablet,,tablet,,[],[]
Solution for Injection IM / IV,solution for injection im iv,solution,injection im iv,solution,,"['im', 'iv']",['injection']
Granules for Solution,granules for solution,granules,solution,granules,solution,[],[]
Oral Capsule,oral capsule,oral capsule,,capsule,,[],[]
Disinfectant Solution,disinfectant solution,disinfectant solution,,solution,,[],[]
Solution For Injection (Iv/Im)/ 100 Mg/Ml (500 Mg/5Ml),solution for injection iv im mg ml mg ml,solution,injection iv im mg ml mg ml,solution,,"['im', 'iv']",['injection']
Dry Powder For Inhalation,dry powder for inhalation,dry powder,inhalation,powder,,[],['inhalation']
Effervescent Tablet,effervescent tablet,effervescent tablet,,tablet,,[],[]
Granules For Solution,granules for solution,granules,solution,granules,solution,[],[]
Prolonged-Release Tablet,prolonged-release tablet,prolonged-release tablet,,tablet,,[],[]
Solution For Intravascular Injection,solution for intravascular injection,solution,intravascular injection,solution,,['intravascular'],['injection']
Lyophilized Powder For Intravenpus Injection,lyophilized powder for intravenpus injection,lyophilized powder,intravenpus injection,powder,,['intravenpus'],['injection']
Sterile Ophthalmic solution,sterile ophthalmic solution,sterile ophthalmic solution,,solution,,[],[]
Lyophilized Powder For Intravenous Injection (IV),lyophilized powder for intravenous injection iv,lyophilized powder,intravenous injection iv,powder,,"['intravenous', 'iv']",['injection']
Granules For Suspension (Oral Drops),granules for suspension oral drops,granules,suspension oral drops,granules,suspension,['oral'],['suspension']
Metered-Dose Inhaler (Non-Cfc),metered-dose inhaler non-cfc,metered-dose inhaler non-cfc,,inhaler,,[],[]
Inhaler,inhaler,inhaler,,inhaler,,[],[]
Intravenous Infusion,intravenous infusion,intravenous infusion,,,,[],[]
fluid for injection,fluid for injection,fluid,injection,,,[],['injection']
Solution For Spinal Injection,solution for spinal injection,solution,spinal injection,solution,,['spinal'],['injection']
Powder For Injection (I.M./M.R),powder for injection im mr,powder,injection im mr,powder,,['im'],['injection']
Lyophilized Powder for Injcetion (IM/SC) Sustained Release,lyophilized powder for injcetion im sc sustained release,lyophilized powder,injcetion im sc sustained release,powder,,"['im', 'sc']",[]
Suspension For Inhalation (Nebules),suspension for inhalation nebules,suspension,inhalation nebules,suspension,,[],['inhalation']
None,none,none,,,,[],[]
Solution For Injection/ Infusion (I.M./I.V./S.C./I.A.),solution for injection infusion im iv sc ia,solution,injection infusion im iv sc ia,solution,,"['ia', 'im', 'sc', 'iv']","['injection', 'infusion']"
"Powder For Injection (Im. Iv, Ia, Intraperitoneal, Intrapleural)",powder for injection im iv ia intraperitoneal intrapleural,powder,injection im iv ia intraperitoneal intrapleural,powder,,"['intrapleural', 'iv', 'ia', 'im', 'intraperitoneal']",['injection']
Shampoo,shampoo,shampoo,,shampoo,,[],[]
Sustained-Release tablet,sustained-release tablet,sustained-release tablet,,tablet,,[],[]
Concentrate For I.V. Infusion,concentrate for iv infusion,concentrate,iv infusion,concentrate,,['iv'],['infusion']
Film - Coated Tablet,film - coated tablet,film - coated tablet,,tablet,,[],[]
Intrauterine Delivery System,intrauterine delivery system,intrauterine delivery system,,system,,[],[]
Ophthalmic suspension,ophthalmic suspension,ophthalmic suspension,,suspension,,[],[]
Powder for Injection (I.V.),powder for injection iv,powder,injection iv,powder,,['iv'],['injection']
Ophthalmic solution,ophthalmic solution,ophthalmic solution,,solution,,[],[]
Solution For Injection (I.V./I.A./Intravesicular),solution for injection iv ia intravesicular,solution,injection iv ia intravesicular,solution,,"['ia', 'iv', 'intravesicular']",['injection']
Concentrate For Infusion (I.V.),concentrate for infusion iv,concentrate,infusion iv,concentrate,,['iv'],['infusion']
Concentrate For Iv Infusion,concentrate for iv infusion,concentrate,iv infusion,concentrate,,['iv'],['infusion']
TOPICAL SOLUTION,topical solution,topical solution,,solution,,[],[]
Solution For Inhalation,solution for inhalation,solution,inhalation,solution,,[],['inhalation']
Solution For Injection (Intravenous/Intra-arterial/Intrathecal/Body Caveties),solution for injection intravenous intra-arterial intrathecal body caveties,solution,injection intravenous intra-arterial intrathecal body caveties,solution,,"['intravenous', 'intrathecal', 'arterial', 'intra-arterial']",['injection']
Concentrate For Infusion,concentrate for infusion,concentrate,infusion,concentrate,,[],['infusion']
Solution For Injection (I.M/I.V),solution for injection im iv,solution,injection im iv,solution,,"['im', 'iv']",['injection']
Metered Dose Inhaler (CFC-Free),metered dose inhaler cfc-free,metered dose inhaler cfc-free,,inhaler,,[],[]
Solution for Injection (IM/IV/Intrathecal/Intra-arterial),solution for injection im iv intrathecal intra-arterial,solution,injection im iv intrathecal intra-arterial,solution,,"['iv', 'intra-arterial', 'im', 'intrathecal', 'arterial']",['injection']
Solution For Injection IV,solution for injection iv,solution,injection iv,solution,,['iv'],['injection']
Liquid For Inhalation,liquid for inhalation,liquid,inhalation,liquid,,[],['inhalation']
Depot Solution For Subcutaneous Injection,depot solution for subcutaneous injection,depot solution,subcutaneous injection,solution,,[],['injection']
Emulsion for Intravenous Infusion,emulsion for intravenous infusion,emulsion,intravenous infusion,emulsion,,['intravenous'],['infusion']
Solution For Injection (I.M./ I.V.),solution for injection im iv,solution,injection im iv,solution,,"['im', 'iv']",['injection']
Lyophilized Powder for I.V.Injection,lyophilized powder for ivinjection,lyophilized powder,ivinjection,powder,,[],[]
Suspennsion,suspennsion,suspennsion,,,,[],[]
Powder for Injection (I.V./ Intraperitoneal/ Intrapleural/ I.A.),powder for injection iv intraperitoneal intrapleural ia,powder,injection iv intraperitoneal intrapleural ia,powder,,"['ia', 'intrapleural', 'intraperitoneal', 'iv']",['injection']
"Solution with 1.5% Dextrose (For 
Intraperitoneal Administration)",solution with dextrose for intraperitoneal administration,solution with dextrose,intraperitoneal administration,solution,,['intraperitoneal'],[]
"Solution for Intraperitoneal Administration 
(Dialysis)",solution for intraperitoneal administration dialysis,solution,intraperitoneal administration dialysis,solution,,['intraperitoneal'],[]
Solution With 2.5% Dextrose,solution with dextrose,solution with dextrose,,solution,,[],[]
Powder For Injection (I.M.),powder for injection im,powder,injection im,powder,,['im'],['injection']
Sterile Irrigating Solution,sterile irrigating solution,sterile irrigating solution,,solution,,[],[]
Powder For Suspension For Injection,powder for suspension for injection,powder,suspension for injection,powder,suspension,[],"['injection', 'suspension']"
FIlm-Coated Tablet,film-coated tablet,film-coated tablet,,tablet,,[],[]
Filmcap,filmcap,filmcap,,,,[],[]
Lyophilized Powder for Injection,lyophilized powder for injection,lyophilized powder,injection,powder,,[],['injection']
Syrup (Oral Drops) Strawberry Flavor,syrup oral drops strawberry flavor,syrup oral drops strawberry flavor,,syrup,,[],[]
Vaginal Gel,vaginal gel,vaginal gel,,gel,,[],[]
Vaginal Insert,vaginal insert,vaginal insert,,insert,,[],[]
Ophthalmic Drops,ophthalmic drops,ophthalmic drops,,drops,,[],[]
Suspension / Syrup,suspension syrup,suspension syrup,,suspension,,[],[]
Transdermal Patch,transdermal patch,transdermal patch,,patch,,[],[]
Solution for injection (IM/IV),solution for injection im iv,solution,injection im iv,solution,,"['im', 'iv']",['injection']
Enteric-Coated Pellets in Capsule,enteric-coated pellets in capsule,enteric-coated pellets in capsule,,capsule,,[],[]
Powder for IV Infusion,powder for iv infusion,powder,iv infusion,powder,,['iv'],['infusion']
Sterile Solution for Nebulization,sterile solution for nebulization,sterile solution,nebulization,solution,,[],['nebulization']
Powder For Inhalation,powder for inhalation,powder,inhalation,powder,,[],['inhalation']
Sterile Powder for Injection,sterile powder for injection,sterile powder,injection,powder,,[],['injection']
Capsules,capsules,capsules,,capsules,,[],[]
Forte Syrup,forte syrup,forte syrup,,syrup,,[],[]
Iv Solution,iv solution,iv solution,,solution,,[],[]
Dispersible Tablet,dispersible tablet,dispersible tablet,,tablet,,[],[]
Powder For Injection (Iv/Im),powder for injection iv im,powder,injection iv im,powder,,"['im', 'iv']",['injection']
Otic Suspension,otic suspension,otic suspension,,suspension,,[],[]
Solution (Ophthalmic Drops),solution ophthalmic drops,solution ophthalmic drops,,solution,,[],[]
Suspension (Strawberry Flavor),suspension strawberry flavor,suspension strawberry flavor,,suspension,,[],[]
Suspension (Melon Flavor),suspension melon flavor,suspension melon flavor,,suspension,,[],[]
ER Tablet,er tablet,er tablet,,tablet,,[],[]
Film Tablet,film tablet,film tablet,,tablet,,[],[]
Sustained-Release Film-Coated Tablet,sustained-release film-coated tablet,sustained-release film-coated tablet,,tablet,,[],[]
Emulgel,emulgel,emulgel,,,,[],[]
Film -Coated Tablet,film -coated tablet,film -coated tablet,,tablet,,[],[]
Suspension/Syrup,suspension syrup,suspension syrup,,suspension,,[],[]
Solution For Injection (Iv/Im/Sc),solution for injection iv im sc,solution,injection iv im sc,solution,,"['im', 'sc', 'iv']",['injection']
Lyophilized Powder for IM/IV Injection,lyophilized powder for im iv injection,lyophilized powder,im iv injection,powder,,"['im', 'iv']",['injection']
Solution For Injection (Im),solution for injection im,solution,injection im,solution,,['im'],['injection']
Soft Gel Capsule,soft gel capsule,soft gel capsule,,capsule,,[],[]
Sterile Otic Suspension (Ear Drops),sterile otic suspension ear drops,sterile otic suspension ear drops,,suspension,,[],[]
Sterile Ophthalmic Suspension(Eye Drops),sterile ophthalmic suspensioneye drops,sterile ophthalmic suspensioneye drops,,drops,,[],[]
Pediatric Suppository,pediatric suppository,pediatric suppository,,suppository,,[],[]
Sterile Ophthalmic Suspension (Drops),sterile ophthalmic suspension drops,sterile ophthalmic suspension drops,,suspension,,[],[]
Sterile Otic Suspension,sterile otic suspension,sterile otic suspension,,suspension,,[],[]
Solution For Nebulization,solution for nebulization,solution,nebulization,solution,,[],['nebulization']
"Solution for Injection 
(I.M.A.V.)",solution for injection imav,solution,injection imav,solution,,[],['injection']
Sterile Ophthalmic Suspension Eye Drops,sterile ophthalmic suspension eye drops,sterile ophthalmic suspension eye drops,,suspension,,[],[]
Enteric Coated Tablet,enteric coated tablet,enteric coated tablet,,tablet,,[],[]
Concentrate For Iv Infusion Or Oral Solution,concentrate for iv infusion or oral solution,concentrate,iv infusion or oral solution,concentrate,solution,"['oral', 'iv']",['infusion']
Respiratory Suspension,respiratory suspension,respiratory suspension,,suspension,,[],[]
ophthalmic ointment,ophthalmic ointment,ophthalmic ointment,,ointment,,[],[]
Emulsion For Intravenous Injection,emulsion for intravenous injection,emulsion,intravenous injection,emulsion,,['intravenous'],['injection']
Soft-gelatin capsule,soft-gelatin capsule,soft-gelatin capsule,,capsule,,[],[]
Antiviral,antiviral,antiviral,,,,[],[]
Prolonged-Release Powder For Injection (Im),prolonged-release powder for injection im,prolonged-release powder,injection im,powder,,['im'],['injection']
Prolonged-Release Powder For Suspension For Injection (Im),prolonged-release powder for suspension for injection im,prolonged-release powder,suspension for injection im,powder,suspension,['im'],"['injection', 'suspension']"
Sterile Ophthamic Solution,sterile ophthamic solution,sterile ophthamic solution,,solution,,[],[]
Sustained-Release Capsule,sustained-release capsule,sustained-release capsule,,capsule,,[],[]
Film - Coated  Tablet,film - coated tablet,film - coated tablet,,tablet,,[],[]
Powder For Injection (I.V./I.V. Infusion),powder for injection iv iv infusion,powder,injection iv iv infusion,powder,,['iv'],"['injection', 'infusion']"
Sodium for injection IV / IM,sodium for injection iv im,sodium,injection iv im,,,"['im', 'iv']",['injection']
Gastro-Resistant Tablets (Film-Coated),gastro-resistant tablets film-coated,gastro-resistant tablets film-coated,,tablets,,[],[]
Delayed Released Tablet,delayed released tablet,delayed released tablet,,tablet,,[],[]
Spray Solution,spray solution,spray solution,,solution,,[],[]
Saline Solution,saline solution,saline solution,,solution,,[],[]
Powder For Solution,powder for solution,powder,solution,powder,solution,[],[]
Solution For Nasal Spray,solution for nasal spray,solution,nasal spray,solution,spray,['nasal'],[]
Nebulizing Solution For Inhalation,nebulizing solution for inhalation,nebulizing solution,inhalation,solution,,[],['inhalation']
Emulsion For Intravenous Infusion,emulsion for intravenous infusion,emulsion,intravenous infusion,emulsion,,['intravenous'],['infusion']
Powder For Injection (I.V/I.M.),powder for injection iv im,powder,injection iv im,powder,,"['im', 'iv']",['injection']
SOLUTION FOR INJECTION,solution for injection,solution,injection,solution,,[],['injection']
Suspension for nebulization,suspension for nebulization,suspension,nebulization,suspension,,[],['nebulization']
Sterile Opthalmic Gel,sterile opthalmic gel,sterile opthalmic gel,,gel,,[],[]
Solution For Injection (IM/IV/SC),solution for injection im iv sc,solution,injection im iv sc,solution,,"['im', 'sc', 'iv']",['injection']
Powder For Injection/Infusion (Iv),powder for injection infusion iv,powder,injection infusion iv,powder,,['iv'],"['injection', 'infusion']"
Fast Disintegrating Tablet,fast disintegrating tablet,fast disintegrating tablet,,tablet,,[],[]
Powder For Injection (I.M/I.V.),powder for injection im iv,powder,injection im iv,powder,,"['im', 'iv']",['injection']
2 GRAM TEA BAG,gram tea bag,gram tea bag,,tea,,[],[]
Solution for Injection (For Intravenous Infusion Only),solution for injection for intravenous infusion only,solution,injection for intravenous infusion only,solution,,['intravenous'],"['injection', 'infusion']"
Lyopjilized Powder for Injection (IV),lyopjilized powder for injection iv,lyopjilized powder,injection iv,powder,,['iv'],['injection']
Lyopjilized Powder For Injection (Iv),lyopjilized powder for injection iv,lyopjilized powder,injection iv,powder,,['iv'],['injection']
Lyophilized  Powder for Injection (IV),lyophilized powder for injection iv,lyophilized powder,injection iv,powder,,['iv'],['injection']
Concentrate For Solustion For I.V. Infusion,concentrate for solustion for iv infusion,concentrate,solustion for iv infusion,concentrate,,['iv'],['infusion']
Solution For Injection (I.M/I.V.),solution for injection im iv,solution,injection im iv,solution,,"['im', 'iv']",['injection']
Metered-Dose Inhaler,metered-dose inhaler,metered-dose inhaler,,inhaler,,[],[]
Suspension;Suspension;Syrup,suspensionsuspensionsyrup,suspensionsuspensionsyrup,,,,[],[]
Solution For Nebulization (Pulmoneb),solution for nebulization pulmoneb,solution,nebulization pulmoneb,solution,,[],['nebulization']
Syrup (Cherry Flavor),syrup cherry flavor,syrup cherry flavor,,syrup,,[],[]
Sprinkle Capsule,sprinkle capsule,sprinkle capsule,,capsule,,[],[]
Powder for Oral Solution,powder for oral solution,powder,oral solution,powder,solution,['oral'],[]
Ophthalmic Emulsion,ophthalmic emulsion,ophthalmic emulsion,,emulsion,,[],[]
Suspension For Injection(Im),suspension for injectionim,suspension,injectionim,suspension,,[],[]
Powder For Injection (IV),powder for injection iv,powder,injection iv,powder,,['iv'],['injection']
Sterile Solution For Iv Infusion,sterile solution for iv infusion,sterile solution,iv infusion,solution,,['iv'],['infusion']
Sterile Suspension (Ophthalmic Drops),sterile suspension ophthalmic drops,sterile suspension ophthalmic drops,,suspension,,[],[]
"Solution for IV Infusion (Pediatric 
Solution)",solution for iv infusion pediatric solution,solution,iv infusion pediatric solution,solution,solution,"['pediatric', 'iv']",['infusion']
Concentrate Solution For Iv Infusion,concentrate solution for iv infusion,concentrate solution,iv infusion,concentrate,,['iv'],['infusion']
Opththalmic Solution,opththalmic solution,opththalmic solution,,solution,,[],[]
Vial Powder For Injection,vial powder for injection,vial powder,injection,vial,,[],['injection']
SOLUTION FOR IV INFUSION,solution for iv infusion,solution,iv infusion,solution,,['iv'],['infusion']
Syrup (Orange Flavor),syrup orange flavor,syrup orange flavor,,syrup,,[],[]
Kit Contains Suspension + Syrup,kit contains suspension syrup,kit contains suspension syrup,,kit,,[],[]
otic drops,otic drops,otic drops,,drops,,[],[]
Solution for Inhalation (Metered Dose Inhaler),solution for inhalation metered dose inhaler,solution,inhalation metered dose inhaler,solution,inhaler,[],['inhalation']
Syrup (Oral Drops) - Grape Flavor,syrup oral drops - grape flavor,syrup oral drops - grape flavor,,syrup,,[],[]
Forte Suspension,forte suspension,forte suspension,,suspension,,[],[]
Dusting Powder,dusting powder,dusting powder,,powder,,[],[]
Lyophilized Powder for Injection (IV Infusion),lyophilized powder for injection iv infusion,lyophilized powder,injection iv infusion,powder,,['iv'],"['injection', 'infusion']"
